"mRNA";"miRNA"
"1";"10217";"rno-miR-100"
"2";"10221";"rno-miR-100"
"3";"11176";"rno-miR-100"
"4";"2261";"rno-miR-100"
"5";"22996";"rno-miR-100"
"6";"23135";"rno-miR-100"
"7";"23140";"rno-miR-100"
"8";"23463";"rno-miR-100"
"9";"2475";"rno-miR-100"
"10";"27161";"rno-miR-100"
"11";"28951";"rno-miR-100"
"12";"3198";"rno-miR-100"
"13";"3480";"rno-miR-100"
"14";"51341";"rno-miR-100"
"15";"55225";"rno-miR-100"
"16";"55435";"rno-miR-100"
"17";"56603";"rno-miR-100"
"18";"5879";"rno-miR-100"
"19";"639";"rno-miR-100"
"20";"64793";"rno-miR-100"
"21";"659";"rno-miR-100"
"22";"6602";"rno-miR-100"
"23";"7855";"rno-miR-100"
"24";"8325";"rno-miR-100"
"25";"84541";"rno-miR-100"
"26";"8467";"rno-miR-100"
"27";"8897";"rno-miR-100"
"28";"9956";"rno-miR-100"
"29";"10000";"rno-miR-125a"
"30";"10019";"rno-miR-125a"
"31";"10021";"rno-miR-125a"
"32";"10057";"rno-miR-125a"
"33";"10126";"rno-miR-125a"
"34";"10166";"rno-miR-125a"
"35";"10179";"rno-miR-125a"
"36";"10257";"rno-miR-125a"
"37";"10391";"rno-miR-125a"
"38";"10570";"rno-miR-125a"
"39";"10608";"rno-miR-125a"
"40";"10618";"rno-miR-125a"
"41";"10620";"rno-miR-125a"
"42";"10634";"rno-miR-125a"
"43";"10914";"rno-miR-125a"
"44";"10999";"rno-miR-125a"
"45";"11011";"rno-miR-125a"
"46";"11052";"rno-miR-125a"
"47";"11176";"rno-miR-125a"
"48";"11253";"rno-miR-125a"
"49";"11270";"rno-miR-125a"
"50";"11313";"rno-miR-125a"
"51";"11320";"rno-miR-125a"
"52";"11325";"rno-miR-125a"
"53";"113829";"rno-miR-125a"
"54";"114294";"rno-miR-125a"
"55";"114883";"rno-miR-125a"
"56";"122553";"rno-miR-125a"
"57";"124842";"rno-miR-125a"
"58";"124930";"rno-miR-125a"
"59";"1263";"rno-miR-125a"
"60";"128338";"rno-miR-125a"
"61";"128954";"rno-miR-125a"
"62";"129080";"rno-miR-125a"
"63";"129563";"rno-miR-125a"
"64";"130612";"rno-miR-125a"
"65";"140459";"rno-miR-125a"
"66";"1432";"rno-miR-125a"
"67";"1457";"rno-miR-125a"
"68";"1463";"rno-miR-125a"
"69";"147339";"rno-miR-125a"
"70";"148252";"rno-miR-125a"
"71";"153396";"rno-miR-125a"
"72";"1605";"rno-miR-125a"
"73";"162427";"rno-miR-125a"
"74";"1639";"rno-miR-125a"
"75";"168455";"rno-miR-125a"
"76";"169611";"rno-miR-125a"
"77";"169714";"rno-miR-125a"
"78";"171586";"rno-miR-125a"
"79";"1795";"rno-miR-125a"
"80";"1820";"rno-miR-125a"
"81";"1848";"rno-miR-125a"
"82";"1857";"rno-miR-125a"
"83";"1906";"rno-miR-125a"
"84";"1912";"rno-miR-125a"
"85";"1952";"rno-miR-125a"
"86";"1978";"rno-miR-125a"
"87";"201627";"rno-miR-125a"
"88";"2043";"rno-miR-125a"
"89";"2066";"rno-miR-125a"
"90";"2101";"rno-miR-125a"
"91";"2104";"rno-miR-125a"
"92";"2113";"rno-miR-125a"
"93";"2120";"rno-miR-125a"
"94";"219333";"rno-miR-125a"
"95";"221294";"rno-miR-125a"
"96";"2239";"rno-miR-125a"
"97";"2263";"rno-miR-125a"
"98";"2286";"rno-miR-125a"
"99";"23062";"rno-miR-125a"
"100";"2307";"rno-miR-125a"
"101";"23095";"rno-miR-125a"
"102";"23097";"rno-miR-125a"
"103";"23098";"rno-miR-125a"
"104";"23119";"rno-miR-125a"
"105";"23131";"rno-miR-125a"
"106";"2319";"rno-miR-125a"
"107";"23216";"rno-miR-125a"
"108";"23225";"rno-miR-125a"
"109";"23236";"rno-miR-125a"
"110";"23281";"rno-miR-125a"
"111";"2332";"rno-miR-125a"
"112";"23344";"rno-miR-125a"
"113";"23351";"rno-miR-125a"
"114";"23405";"rno-miR-125a"
"115";"23429";"rno-miR-125a"
"116";"23433";"rno-miR-125a"
"117";"23439";"rno-miR-125a"
"118";"23492";"rno-miR-125a"
"119";"23528";"rno-miR-125a"
"120";"23541";"rno-miR-125a"
"121";"23554";"rno-miR-125a"
"122";"23677";"rno-miR-125a"
"123";"2526";"rno-miR-125a"
"124";"255488";"rno-miR-125a"
"125";"256691";"rno-miR-125a"
"126";"25822";"rno-miR-125a"
"127";"25946";"rno-miR-125a"
"128";"2595";"rno-miR-125a"
"129";"25988";"rno-miR-125a"
"130";"26099";"rno-miR-125a"
"131";"26469";"rno-miR-125a"
"132";"2686";"rno-miR-125a"
"133";"2697";"rno-miR-125a"
"134";"27161";"rno-miR-125a"
"135";"2744";"rno-miR-125a"
"136";"28232";"rno-miR-125a"
"137";"283149";"rno-miR-125a"
"138";"283871";"rno-miR-125a"
"139";"283989";"rno-miR-125a"
"140";"2846";"rno-miR-125a"
"141";"285172";"rno-miR-125a"
"142";"286077";"rno-miR-125a"
"143";"286343";"rno-miR-125a"
"144";"2872";"rno-miR-125a"
"145";"2887";"rno-miR-125a"
"146";"28951";"rno-miR-125a"
"147";"29";"rno-miR-125a"
"148";"290";"rno-miR-125a"
"149";"2903";"rno-miR-125a"
"150";"2926";"rno-miR-125a"
"151";"29855";"rno-miR-125a"
"152";"29946";"rno-miR-125a"
"153";"3067";"rno-miR-125a"
"154";"30818";"rno-miR-125a"
"155";"3097";"rno-miR-125a"
"156";"3149";"rno-miR-125a"
"157";"3213";"rno-miR-125a"
"158";"324";"rno-miR-125a"
"159";"340485";"rno-miR-125a"
"160";"340533";"rno-miR-125a"
"161";"3603";"rno-miR-125a"
"162";"372";"rno-miR-125a"
"163";"3728";"rno-miR-125a"
"164";"3736";"rno-miR-125a"
"165";"3768";"rno-miR-125a"
"166";"3790";"rno-miR-125a"
"167";"3955";"rno-miR-125a"
"168";"3977";"rno-miR-125a"
"169";"399687";"rno-miR-125a"
"170";"400506";"rno-miR-125a"
"171";"4012";"rno-miR-125a"
"172";"4038";"rno-miR-125a"
"173";"4074";"rno-miR-125a"
"174";"4094";"rno-miR-125a"
"175";"41";"rno-miR-125a"
"176";"4135";"rno-miR-125a"
"177";"4139";"rno-miR-125a"
"178";"4144";"rno-miR-125a"
"179";"4209";"rno-miR-125a"
"180";"4287";"rno-miR-125a"
"181";"4296";"rno-miR-125a"
"182";"4320";"rno-miR-125a"
"183";"4520";"rno-miR-125a"
"184";"4661";"rno-miR-125a"
"185";"4684";"rno-miR-125a"
"186";"4685";"rno-miR-125a"
"187";"4739";"rno-miR-125a"
"188";"4741";"rno-miR-125a"
"189";"4758";"rno-miR-125a"
"190";"4781";"rno-miR-125a"
"191";"492";"rno-miR-125a"
"192";"4947";"rno-miR-125a"
"193";"5048";"rno-miR-125a"
"194";"51058";"rno-miR-125a"
"195";"51072";"rno-miR-125a"
"196";"51114";"rno-miR-125a"
"197";"51195";"rno-miR-125a"
"198";"51199";"rno-miR-125a"
"199";"51230";"rno-miR-125a"
"200";"5127";"rno-miR-125a"
"201";"51274";"rno-miR-125a"
"202";"51341";"rno-miR-125a"
"203";"51400";"rno-miR-125a"
"204";"51499";"rno-miR-125a"
"205";"51547";"rno-miR-125a"
"206";"51560";"rno-miR-125a"
"207";"51586";"rno-miR-125a"
"208";"51616";"rno-miR-125a"
"209";"51621";"rno-miR-125a"
"210";"51762";"rno-miR-125a"
"211";"51809";"rno-miR-125a"
"212";"5287";"rno-miR-125a"
"213";"5326";"rno-miR-125a"
"214";"53349";"rno-miR-125a"
"215";"5361";"rno-miR-125a"
"216";"54014";"rno-miR-125a"
"217";"5420";"rno-miR-125a"
"218";"54442";"rno-miR-125a"
"219";"5452";"rno-miR-125a"
"220";"54567";"rno-miR-125a"
"221";"54619";"rno-miR-125a"
"222";"54676";"rno-miR-125a"
"223";"5471";"rno-miR-125a"
"224";"54732";"rno-miR-125a"
"225";"54785";"rno-miR-125a"
"226";"54897";"rno-miR-125a"
"227";"54926";"rno-miR-125a"
"228";"5499";"rno-miR-125a"
"229";"55007";"rno-miR-125a"
"230";"55148";"rno-miR-125a"
"231";"5515";"rno-miR-125a"
"232";"55216";"rno-miR-125a"
"233";"55262";"rno-miR-125a"
"234";"5527";"rno-miR-125a"
"235";"55298";"rno-miR-125a"
"236";"55300";"rno-miR-125a"
"237";"55544";"rno-miR-125a"
"238";"55603";"rno-miR-125a"
"239";"55625";"rno-miR-125a"
